Name,ID,URL,Country,Status,PIU Issuance,Developer,Validator,Start Year,End Year,Duration,Area,Emission Reductions,Claimable Emission Reductions,Latitude,Longitude,Subarea; Blanket Bog; Actively Eroding: Hagg/Gully,Subarea; Blanket Bog; Actively Eroding: Flat Bare,Subarea; Blanket Bog; Drained: Artificial,Subarea; Blanket Bog; Drained: Hagg/Gully,Subarea; Blanket Bog; Modified,Subarea; Blanket Bog; Near Natural,Subarea; Raised Bog; Actively Eroding: Hagg/Gully,Subarea; Raised Bog; Actively Eroding: Flat Bare,Subarea; Raised Bog; Drained: Artificial,Subarea; Raised Bog; Drained: Hagg/Gully,Subarea; Raised Bog; Modified,Subarea; Raised Bog; Near Natural,Subarea; Cropland; Drained,Subarea; Grassland; Intensive Drained,Subarea; Grassland; Extensive Drained,Subarea; Fen; Modified
Cerniau,104000000027995,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027995,Wales,Validated,Issued,RSPB,Organic Farmers & Growers C.I.C.,2024,2089,65,114.64,14658,12459,52.751805,-3.57786,1.23,0.0,20.19,93.22,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Clach Liath (Phase 1),104000000028605,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028605,Scotland,Validated,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2120,95,102.05,30645,26048,57.661721,-4.505885,8.52,0.4,32.28,60.85,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Clach Liath (Phase 2),104000000029259,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029259,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2115,90,122.58,37123,31555,57.663116,-4.526102,7.28,0.0,30.85,84.45,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Clune & Corrybrough Phase 1,104000000029384,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029384,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2125,100,43.55,14890,12656,57.325322,-3.90984,0.0,0.0,0.0,0.0,0.0,0,5.03,0.03,10.86,27.63,0,0,0.0,0.0,0.0,0.0
Clunes Beat Project 1,104000000027833,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027833,Scotland,Validated,Unissued,RCT Peatland,Organic Farmers & Growers C.I.C.,2025,2125,100,180.913,33161,28187,56.8043,-3.9586,0.383,0.0,180.53,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Corriemulzie (Phases 1-3),104000000027139,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027139,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,161.76,63402,53892,57.860671,-4.870392,20.82,1.2,0.0,139.74,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Coulin 1 [Meallan Mhic Iamhair],104000000029485,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029485,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2075,50,198.187,28653,23925,57.544536,-5.233275,16.36,0.38,0.0,181.447,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Craigculter,104000000029167,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029167,Scotland,Under Development,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2055,30,37.36,6870,5840,57.575063,-2.158823,0.0,12.6,24.76,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Craigengillan peatland restoration,104000000028024,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028024,Scotland,Restoration Validated,Issued,Fountains Forestry UK Ltd,Organic Farmers & Growers C.I.C.,2022,2077,55,6.616,669,569,55.298002,-4.419295,0.016,0.0,5.85,0.75,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Cùl Mòr,104000000027352,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027352,Scotland,Under Development,Unissued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2105,80,75.31,14002,11902,,,2.44,0.0,0.0,72.87,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
